Timestamp,Flow_Inlet (L/min),Flow_Outlet (L/min)
2024-01-01 00:00:00,19.082177857671198,17.46072863199848
2024-01-01 00:10:00,20.782211887386197,18.4242576884
2024-01-01 00:20:00,22.4197671118974,18.04849861471979
2024-01-01 00:30:00,22.925768360261998,22.319620599123457
2024-01-01 00:40:00,20.1288304093384,19.754554942492007
2024-01-01 00:50:00,20.903494281222777,19.21677027765189
2024-01-01 01:00:00,23.25833076375757,19.19254408582365
2024-01-01 01:10:00,21.473456373718086,18.65921172101068
2024-01-01 01:20:00,22.174469958192596,21.43681196576036
2024-01-01 01:30:00,23.112034594649966,20.336408343473963
2024-01-01 01:40:00,22.965954806051418,21.609737255760653
2024-01-01 01:50:00,19.12976545954435,14.665936908523356
2024-01-01 02:00:00,19.178606752449532,17.20966015531153
2024-01-01 02:10:00,20.17291360857132,16.144984458464457
2024-01-01 02:20:00,20.062715095738483,16.65678766341902
2024-01-01 02:30:00,20.782529482786988,19.777646437226398
2024-01-01 02:40:00,23.680154189552553,23.127528921176268
2024-01-01 02:50:00,20.249434409116965,20.232754046480846
2024-01-01 03:00:00,20.875514303442664,17.39549443189076
2024-01-01 03:10:00,22.591201457251632,18.588659402211263
2024-01-01 03:20:00,21.947705003490903,19.27914938429981
2024-01-01 03:30:00,22.32372991610154,21.997048617224873
2024-01-01 03:40:00,19.108225475561586,18.19966946121677
2024-01-01 03:50:00,20.188845540003175,18.18821184222674
2024-01-01 04:00:00,19.93381790836684,16.73342985957676
2024-01-01 04:10:00,20.57042063187888,19.55966170118922
2024-01-01 04:20:00,19.759441344805804,19.08907123094907
2024-01-01 04:30:00,22.221841063234304,19.631605746392786
2024-01-01 04:40:00,20.38257545002668,19.64886551040525
2024-01-01 04:50:00,23.334744524877706,20.363585516870913
2024-01-01 05:00:00,20.14911802408633,18.177070551589352
2024-01-01 05:10:00,23.04856585635196,21.34784605235448
2024-01-01 05:20:00,22.564870561667085,20.97745028084447
2024-01-01 05:30:00,19.25218184475651,16.93502713250113
2024-01-01 05:40:00,22.735720432130933,18.830267848475664
